,Boat Type,Manufacturer,Type,Year Built,Length,Width,Material,Number of views last 7 days,Country,City,USD_price
7797,Motor Yacht,BÃ©nÃ©teau power boats,new boat from stock,2020,8.23,2.76,GRP,89,Slovak Republic , Slovakia,57134.0
7798,Center console boat,Jeanneau power boats,"new boat from stock,Unleaded",2020,6.31,2.48,PVC,29,France ," BORMES LES MIMOSAS, France",57134.0
7799,Center console boat,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2019,6.41,2.48,Steel,30,France ," PLUNERET, France",57134.0
7800,Center console boat,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2020,6.41,2.45,PVC,15,France ," PORT LEUCATE, France",57134.0
7801,Center console boat,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2020,6.41,2.48,Steel,39,France ," PLUNERET, France",57134.0
7802,Center console boat,Jeanneau power boats,new boat from stock,2020,6.31,2.52,GRP,104,Germany , BÃ¶nningstedt,57134.0
7804,Sport Boat,Bayliner power boats,"Used boat,Unleaded",2017,6.64,2.55,GRP,445,Germany , Brandenburg ,57134.0
7805,Bowrider,Bayliner power boats,"new boat from stock,Unleaded",2020,6.82,2.45,GRP,296,Switzerland , Lake Geneva ,62845.200000000004
7808,Runabout,Quicksilver (Brunswick Marine) power boats,new boat on order,2020,8.05,3.0,GRP,75,Germany , Kieler Bucht mit Fehmarn ,57026.94
7810,Bowrider,Regal power boats,"new boat from stock,Unleaded",2021,6.0,2.5,GRP,131,Germany , Lake Constance ,56979.240000000005
7811,Motor Yacht,Gobbi power boats,"Used boat,Diesel",1998,10.8,3.8,GRP,98,Italy , Nord Adria,56180.0
7813,Deck Boat,BÃ©nÃ©teau power boats,"Used boat,Unleaded",2016,7.64,2.66,PVC,102,France ," Mandelieu La Napoule, France",56180.0
7814,Motor Yacht,De Groot power boats,"Used boat,Diesel",1967,13.8,3.65,Steel,232,Belgium , THIEU (hainaut) ,56180.0
7815,Sport Boat,Europe Marine power boats,"Used boat,Unleaded",2018,7.15,2.34,GRP,226,Germany , Baden-WÃ¼rttemberg ,56180.0
7816,Sport Boat,Bayliner power boats,"new boat from stock,Unleaded",2020,6.84,2.44,GRP,217,Germany , Bayern ,56178.94
7817,Sport Boat,Sea Ray power boats,new boat from stock,2020,6.55,2.54,GRP,85,Germany , Bayern ,56178.94
7818,Center console boat,BÃ©nÃ©teau power boats,new boat from stock,2019,8.1,2.53,PVC,59,France ," SAINT-CYPRIEN, France, cap d agde, France",56147.14
7819,Center console boat,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2019,8.1,2.53,PVC,76,France ," cap d agde, France",56147.14
7820,Motor Yacht,Cytra power boats,"Used boat,Diesel",1975,11.2,3.5,GRP,175,Germany , Rathenow,56074.0
7822,Bowrider,Sea Ray power boats,"new boat from stock,Unleaded",2020,5.94,2.54,GRP,52,Germany , Boote Pfister GmbH Schwebheim / Schweinfurt,56074.0
7824,Center console boat,NUVA Yachts power boats,"Display Model,Unleaded",2019,5.99,2.49,GRP,99,Germany , Damp,56021.0
7825,Sport Boat,Quicksilver (Brunswick Marine) power boats,"new boat on order,Unleaded",2020,6.02,2.34,GRP,96,Germany , Baden-WÃ¼rttemberg ,55957.4
7827,Sport Boat,Jeanneau power boats,"Display Model,Unleaded",2019,6.4,2.45,GRP,147,Switzerland , Diessenhofen ,61452.00000000001
7829,Deck Boat,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2018,6.23,2.52,PVC,22,Spain ," DÃ©nia, Alicante",55756.0
7832,Pilothouse,BÃ©nÃ©teau power boats,"Used boat,Diesel",2010,8.36,2.95,Steel,84,France ," ARRADON, ARRADON",55650.0
7833,Center console boat,Jeanneau power boats,"Used boat,Unleaded",2017,7.19,2.54,PVC,114,Belgium , Belgique,55650.0
7834,Pilothouse,BÃ©nÃ©teau power boats,Used boat,2017,8.03,2.78,PVC,50,France ," Port de Noirmoutier, France",55650.0
7838,Cabin Boat,Rinker power boats,"Used boat,Unleaded",2008,7.47,2.59,GRP,708,Switzerland , Lake Geneva ,61020.00000000001
7839,Bowrider,Parker power boats,"new boat from stock,Unleaded",2019,6.1,2.25,GRP,195,Switzerland , VierwaldstÃ¤ttersee ,55335.18
7840,Pilothouse,Jeanneau power boats,new boat from stock,2020,7.39,2.57,PVC,60,United Kingdom ," Lincoln, Lincoln",47460.0
7841,Sport Boat,Sea Ray power boats,new boat from stock,2019,6.55,2.54,GRP,56,Germany , Bayern ,55118.94
7842,Bowrider,Bayliner power boats,"Used boat,Unleaded",2018,6.2,2.45,GRP,98,Germany , Bayern ,55014.0
7843,Pilothouse,BÃ©nÃ©teau power boats,"Used boat,Unleaded",2018,7.48,2.53,PVC,38,France ," PORT LEUCATE, France",55014.0
7844,Passenger boat,Alfastreet Marine power boats,"Used boat,Electric",2017,7.8,2.45,GRP,130,Hungary , Balaton,55014.0
7845,Center console boat,Jeanneau power boats,new boat from stock,2020,6.86,2.52,GRP,31,Netherlands , In verkoophaven,55014.0
7848,Bowrider,Silver power boats,"new boat from stock,Unleaded",2020,5.64,2.16,Aluminium,196,Switzerland , Lake of Zurich ,60372.00000000001
7849,Center console boat,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2020,6.41,2.48,PVC,24,France ," La Rochelle, France",54757.48
7850,Cabin Boat,Jeanneau power boats,"Used boat,Unleaded",2015,7.7,2.78,GRP,381,Switzerland , Locarno,60264.00000000001
7851,Center console boat,Jeanneau power boats,"new boat from stock,Unleaded",2020,6.86,2.48,PVC,35,France ," LA ROCHELLE, LA ROCHELLE",54590.0
7852,Sport Boat,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",2020,6.4,2.46,GRP,155,Germany , Bayern ,54590.0
7853,Sport Boat,BÃ©nÃ©teau power boats,Used boat,2011,7.99,2.94,PVC,74,France ," AGDE, France, AGDE, AGDE",54590.0
7854,Sport Boat,BÃ©nÃ©teau power boats,"Used boat,Unleaded",2011,7.99,2.94,PVC,115,France ," AGDE, AGDE",54590.0
7855,Sport Boat,Skibsplast power boats,"Used boat,Unleaded",2008,6.85,2.49,GRP,370,Switzerland , Bielersee ,59999.4
7857,Bowrider,Finnmaster power boats,"new boat from stock,Unleaded",2020,6.39,2.29,GRP,129,Germany , Ostsee ,54367.4
7858,Pilothouse,Proficiat power boats,"Used boat,Diesel",1985,9.5,2.97,Steel,261,Switzerland , Lake Geneva ,59400.00000000001
7859,Cabin Boat,Fairline power boats,"Used boat,Unleaded",1990,10.04,3.42,GRP,1386,Switzerland , Altendorf SZ ,59400.00000000001
7860,Deck Boat,Parker power boats,"new boat from stock,Unleaded",2020,6.45,2.45,GRP,164,Switzerland , Stansstad,54245.5
7861,Pilothouse,Parker power boats,new boat from stock,2018,7.46,2.55,GRP,166,Germany , Nordrhein-Westfalen ,54075.9
7863,Motor Yacht,Ocqueteau power boats,"Used boat,Diesel",2004,9.0,3.4,PVC,126,France ," Saint Quay Portrieux, France",54060.0
7864,Cabin Boat,Campion power boats,"new boat from stock,Unleaded",2020,6.55,2.48,GRP,113,Germany , 1,53954.0
